Col1,Col2,Col3,Col4,Boolean
68.11,66.72,65.31,23.93,0
52.2,57.74,30.93,89.21,0
43.04,94.1,66.29,66.67,1
24.2,85.92,20.48,16.95,1
63.31,51.18,13.87,88.14,1
60.11,63.26,32.17,23.34,1
95.64,39.6,60.18,38.25,1
31.11,30.27,55.18,38.86,0
67.74,82.58,81.74,17.76,0
77.85,35.82,25.25,20.78,1
12.57,95.26,43.78,16.16,1
32.49,61.83,98.17,88.32,0
86.45,45.88,42.45,64.99,1
49.93,18.92,77.91,1.71,1
4.53,76.58,56.91,77.06,0
93.0,71.52,90.77,42.83,1
64.71,98.78,58.56,57.21,0
19.44,31.7,27.07,50.82,1
71.42,45.04,46.21,19.0,1
59.88,18.52,28.65,46.67,0
15.79,18.53,64.87,1.92,0
1.63,75.7,61.88,50.3,1
51.32,46.12,78.17,6.2,0
35.22,71.02,7.52,80.74,1
96.62,19.19,13.6,4.9,1
31.25,99.47,6.29,50.01,1
29.24,76.57,13.16,50.02,0
74.05,94.57,86.45,37.29,0
46.39,26.69,62.74,36.63,0
15.73,2.02,4.83,85.49,1
64.2,14.44,49.66,4.82,0
76.13,56.75,12.48,28.7,1
22.34,53.96,50.96,4.99,1
69.37,32.42,1.08,65.5,0
96.33,35.51,35.49,30.55,1
33.03,84.18,22.17,62.75,1
68.28,42.77,47.85,24.01,1
84.78,88.62,26.04,55.69,1
53.49,80.47,34.89,56.36,1
74.66,73.54,12.17,81.81,1
36.58,73.73,29.48,37.58,0
88.6,48.32,28.02,29.97,1
91.18,92.75,25.82,47.85,0
73.67,8.94,42.45,56.89,0
77.71,2.89,67.64,82.18,0
91.94,9.88,38.05,28.17,1
41.35,90.41,75.17,83.4,0
36.53,19.26,11.91,9.63,0
70.37,1.85,25.62,82.22,1
69.88,59.96,61.73,44.83,0
36.72,36.73,62.27,90.13,1
99.4,39.76,37.87,79.03,0
95.46,67.27,63.29,86.81,0
9.32,45.85,56.43,85.7,0
71.99,2.34,30.04,15.23,0
72.66,82.3,53.77,19.34,0
69.67,67.83,43.21,27.46,1
48.45,47.03,5.55,31.67,0
83.7,28.36,72.74,79.3,1
79.17,64.68,91.04,91.17,1
42.85,49.16,45.2,87.51,0
15.29,16.27,52.24,89.87,0
27.32,17.77,11.39,98.68,1
43.35,87.99,34.95,8.76,1
89.15,2.09,6.34,71.11,1
36.11,63.63,50.11,8.51,0
87.07,49.87,53.63,32.91,1
40.12,38.92,10.76,73.47,0
67.59,93.21,38.5,28.05,0
54.13,92.99,78.75,83.55,0
30.93,53.72,26.24,97.02,1
38.39,81.45,37.99,26.84,1
49.88,54.15,19.54,78.97,1
90.21,3.08,19.05,10.56,1
17.49,59.62,22.92,39.39,0
44.14,44.88,75.62,73.93,0
58.37,32.51,16.43,24.48,1
42.86,39.41,49.94,78.28,0
51.27,52.52,68.27,58.16,0
14.47,61.43,43.0,14.42,0
22.16,1.95,52.28,21.27,0
64.72,91.08,62.2,96.74,0
94.23,84.27,43.93,85.81,0
31.95,93.62,55.83,44.15,1
66.31,62.49,58.29,67.85,1
93.82,84.24,70.5,98.98,1
21.75,40.69,54.19,9.15,1
3.32,60.87,52.19,41.28,1
99.57,4.09,70.1,33.65,0
47.61,79.49,61.17,14.2,1
28.61,29.38,30.31,74.82,1
38.75,93.7,46.1,28.18,1
85.95,93.57,88.32,35.14,1
22.67,95.04,45.02,56.67,0
62.84,1.77,80.59,77.39,1
65.42,86.93,65.08,72.49,1
42.91,57.16,93.73,16.44,1
15.91,90.46,38.7,46.5,1
19.43,13.71,78.74,35.9,1
25.41,93.31,34.18,30.57,0
41.71,18.6,69.74,38.86,0
98.07,87.61,61.74,42.62,1
84.67,8.39,94.38,79.69,0
53.03,58.93,17.67,6.11,0
24.7,60.14,68.75,18.52,0
99.85,13.97,31.16,77.57,1
74.94,27.71,34.07,87.73,0
39.84,10.99,55.03,51.78,0
69.86,18.97,36.23,16.59,1
82.36,62.26,2.49,65.09,1
32.02,22.45,28.75,22.96,1
40.12,97.1,83.32,27.85,1
35.38,93.11,7.64,45.04,1
17.76,21.41,51.48,58.36,0
10.41,48.3,38.16,30.16,1
85.86,94.76,1.37,63.58,0
16.06,59.89,19.09,43.62,0
88.58,6.4,97.93,88.66,0
49.41,79.01,28.94,99.53,0
38.58,5.17,40.37,52.44,1
88.8,86.82,62.61,82.71,1
85.86,70.96,60.53,86.23,0
86.19,82.97,2.98,52.47,0
59.69,40.84,82.81,43.52,0
49.58,83.36,61.54,54.69,1
36.4,97.5,43.4,84.86,1
75.5,47.49,35.39,89.83,0
22.86,15.02,50.58,41.59,1
74.48,92.34,70.88,89.29,1
96.56,23.19,52.19,45.32,1
51.1,18.18,87.55,28.41,1
83.1,63.36,24.74,88.38,0
74.63,32.83,39.91,90.08,1
90.42,46.91,41.44,66.55,1
54.25,4.05,17.48,21.5,1
9.33,59.7,56.07,73.14,0
47.94,98.14,81.36,96.67,1
86.55,83.01,81.71,52.51,1
28.7,99.55,73.59,28.09,0
37.57,59.33,96.32,54.54,0
75.12,79.27,32.5,3.13,1
94.54,84.16,69.75,62.33,1
15.47,46.57,47.43,91.25,0
88.01,39.39,57.05,36.48,1
42.98,81.72,2.85,48.22,1
42.93,84.22,61.87,83.34,0
69.99,72.99,23.3,38.45,1
34.75,26.39,8.5,89.41,0
66.68,25.3,58.86,67.75,1
66.62,10.06,71.77,42.76,1
